consulta,estrategia,posicion,paper_id,titulo,puntaje,relevante
C1,bm25,1,18,HexHex: Highspeed Extraction of Hexahedral Meshes,21.38679,True
C1,bm25,2,19,TetWeave: Isosurface Extraction using On-The-Fly Delaunay Tetrahedral Grids for Gradient-Based Mesh Optimization,10.65631,True
C1,bm25,3,132,Direct Rendering of Intrinsic Triangulations,7.95362,False
C1,bm25,4,12,Dynamic Mesh Processing on the GPU,4.24629,False
C1,bm25,5,175,IMLS-Splatting: Efficient Mesh Reconstruction from Multi-view Images via Point Representation,4.10825,True
C1,bm25,6,149,NeurCross: A Neural Approach to Computing Cross Fields for Quad Mesh Generation,4.08952,True
C1,bm25,7,28,Single Edge Collapse Quad-Dominant Mesh Reduction,3.79532,True
C1,bm25,8,182,Piecewise Ruled Approximation for Freeform Mesh Surfaces,3.777,False
C1,bm25,9,88,"Exact Predicates, Exact Constructions and Combinatorics for Mesh CSG.",3.75299,False
C1,bm25,10,78,Simplifying Textured Triangle Meshes in the Wild,3.61705,True
C1,lsa,1,18,HexHex: Highspeed Extraction of Hexahedral Meshes,0.79219,True
C1,lsa,2,19,TetWeave: Isosurface Extraction using On-The-Fly Delaunay Tetrahedral Grids for Gradient-Based Mesh Optimization,0.78717,True
C1,lsa,3,88,"Exact Predicates, Exact Constructions and Combinatorics for Mesh CSG.",0.6294,False
C1,lsa,4,132,Direct Rendering of Intrinsic Triangulations,0.6227,False
C1,lsa,5,78,Simplifying Textured Triangle Meshes in the Wild,0.54387,True
C1,lsa,6,28,Single Edge Collapse Quad-Dominant Mesh Reduction,0.53753,True
C1,lsa,7,175,IMLS-Splatting: Efficient Mesh Reconstruction from Multi-view Images via Point Representation,0.53458,True
C1,lsa,8,32,Rectangular Surface Parameterization,0.51894,False
C1,lsa,9,79,Fast Galerkin Multigrid Method for Unstructured Meshes,0.44991,False
C1,lsa,10,154,Optimal r-Adaptive In-Timestep Remeshing for Elastodynamics,0.44923,True
C1,tfidf,1,18,HexHex: Highspeed Extraction of Hexahedral Meshes,0.31738,True
C1,tfidf,2,19,TetWeave: Isosurface Extraction using On-The-Fly Delaunay Tetrahedral Grids for Gradient-Based Mesh Optimization,0.26237,True
C1,tfidf,3,132,Direct Rendering of Intrinsic Triangulations,0.19839,False
C1,tfidf,4,175,IMLS-Splatting: Efficient Mesh Reconstruction from Multi-view Images via Point Representation,0.10972,True
C1,tfidf,5,12,Dynamic Mesh Processing on the GPU,0.09794,False
C1,tfidf,6,149,NeurCross: A Neural Approach to Computing Cross Fields for Quad Mesh Generation,0.09475,True
C1,tfidf,7,182,Piecewise Ruled Approximation for Freeform Mesh Surfaces,0.07634,False
